name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,whatsapp_number
AutoCar Serviço Automotivo,"Av. Pres. Médici, 2136 - Vila Menck, Osasco - SP, 06273-000",,(11) 94030-8049,,4.1,No,No,No,Mecânica para carros, · Abre seg. às 08:00,None Found,5511940308049
Marquetto Cómercio de Ônibus LTDA.,"Av. Nossa Sra. dos Remédios, 245 - Remédios, Osasco - SP, 06798-010",,(11) 99617-7788,,4.5,No,No,No,Empresa de ônibus,,None Found,5511996177788
Inabalável som,"R. José Aureliana da Cunha, 29 - Remédios, Osasco - SP, 06296-200",,(11) 95876-9482,,,No,No,No,Loja de som para carros,,None Found,5511958769482
Primos Diesel Comércio de Peças Novas e Usadas Ônibus e Cam,"R. Leão XIII, 83 - Remédios, Osasco - SP, 06296-180",,(11) 96454-3831,,3.6,No,No,No,Loja de autopeças, · Abre seg. às 08:00,None Found,5511964543831
Rpm Car Autocenter,"R. Maria Antônia Niero, 120 - Santo Antônio, Osasco - SP, 06130-010",,(11) 3431-5654,,4.9,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,551134315654
KARTECH - CENTRO AUTOMOTIVO LTDA,"R. São Maurício, 444 - Jardim das Flores, Osasco - SP, 06110-250",,(11) 4556-1091,,4.8,No,No,No,Mecânica para carros, · Abre seg. às 08:00,None Found,551145561091
Oficina,"Av. Olavo Bilac, 333 - Km 18, Osasco - SP, 06190-150",,(11) 99703-3585,,4.9,No,No,No,Empresa de organização de eventos,,None Found,5511997033585
Oficina,"Av. Olavo Bilac, 333 - Km 18, Osasco - SP, 06190-150",,(11) 99703-3585,,4.9,No,No,No,Empresa de organização de eventos,,None Found,5511997033585
BusDiesel - Peças para Caminhões,"R. Sérgio Pôrto, 134 - Remédios, Osasco - SP, 06296-240",,(11) 3687-5350,,4.8,No,No,No,Loja de acessórios para caminhões, · Abre seg. às 07:00,None Found,551136875350
Oficina Continental,"Av. Padre Vicente Melillo, 1349 - Umuarama, Osasco - SP, 06036-016",continentalmec.com.br,(11) 3609-7332,,4.8,No,No,No,Oficina mecânica, · Abre seg. às 07:00,None Found,551136097332
MEC ALPHA - CÂMBIO AUTOMÁTICO / MECÂNICA / FUNILARIA E PINTURA,"Av. Antônio Carlos Costa, 360 - Bela Vista, Osasco - SP, 06053-000",instagram.com,(11) 94734-0580,,4.8,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511947340580
Helu's Peças / Vans,"R. José Teixeira de Barros, 307 - Remédios, Osasco - SP, 06298-150",,,,,No,No,No,Loja de autopeças,,None Found,
Oficina Mecânica Mão na Roda,"R. Monte Negro, 20 - Santo Antônio, Osasco - SP, 06126-030",,(11) 4384-5868,,4.9,No,No,No,Oficina mecânica, · Abre seg. às 07:30,None Found,551143845868
Ander Funilaria Prime & Pit Stop Reparos,"R. Albino dos Santos, 132 - Centro, Osasco - SP, 06093-060",,(11) 98997-3818,,4.5,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511989973818
Mecânica Allen,"Av. Sport Club Corinthians Paulista, 303 - Bussocaba, Osasco - SP, 06190-165",mecanicaallen.com.br,(11) 3681-5242,,4.5,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,551136815242
MitCar Osasco - Oficina Mecânica,"R. Jandira de Marins Peixoto, 43 - Metalúrgicos, Osasco - SP, 06150-240",,(11) 94192-6907,,5.0,No,No,No,Oficina mecânica, · 14:00 · Abre seg. às 08:00,None Found,5511941926907
GrandPoint - Oficina Automotiva,"Av. João Batista, 1029 - Centro, Osasco - SP, 06097-105",,(11) 91680-4654,,5.0,No,No,No,Mecânico, · Abre seg. às 08:00,None Found,5511916804654
Aliança Auto Center,"Av. Antônio Carlos Costa, 918 - Bela Vista, Osasco - SP, 06053-004",aliancaautocenter.com.br,(11) 3691-2737,,4.9,No,No,No,Serviço de alinhamento e balanceamento, · Abre seg. às 08:00,None Found,551136912737
Dream Garage Auto Service - Especializada em BMW.,"R. São Maurício, 420 - Km 18, Osasco - SP, 06110-250",linktr.ee,(11) 98200-0332,,5.0,No,No,No,Mecânica para carros, · Abre seg. às 09:00,None Found,5511982000332
Nova Marsil | Peças Usadas Originais para Vans e Cabeçotes Retificados a Diesel,"R. Santa Luzia, 9 - Remédios, Osasco - SP, 06298-140",novamarsil.com.br,(11) 95480-5595,,,No,No,No,Loja de autopeças, · Abre seg. às 08:00,None Found,5511954805595
AUT Centro de especialidade veicular,"Av. Dr. Martin Luther King, 146 - Umuarama, Osasco - SP, 06030-000",autechnicians.com.br,(11) 91192-6349,,5.0,No,No,No,Oficina mecânica, · Abre seg. às 09:00,None Found,5511911926349
Royal Vistoria KM18 Osasco,"Av. Diogo Antônio Feijó, 71 - Km 18, Osasco - SP, 06114-020",vistoriaveicular.osasco.br,(11) 96400-0034,,5.0,No,No,No,Oficina de inspeção veicular, · Fecha 16:00,None Found,5511964000034
Lapena - Oficina Especializada 4x4,"Rua Sebastian Pietro Camandona, 7 - Vila Osasco, Osasco - SP, 06080-220",wa.me,(11) 94777-5838,,4.8,No,No,No,Oficina mecânica, · Abre seg. às 07:30,None Found,5511947775838
JMD Diesel Comércio de Peças Novas e Usadas para Veículos,"Av. Nossa Sra. dos Remédios, 106 - Remédios, Osasco - SP, 06296-190",,(11) 3656-3205,,4.8,No,No,No,Loja de acessórios para caminhões, · Abre seg. às 08:00,None Found,551136563205
Moura Metais,"R. Francisco Alves, 14 - Vila dos Remedios, Osasco - SP, 06296-160",mourametais.com.br,(11) 95067-9356,,5.0,No,No,No,Ferro velho, · 14:00 · Abre seg. às 08:00,None Found,5511950679356
Petrobras,"NOSSA SRA - Av. Nossa Sra. dos Remédios, 1 - Vila dos Remedios, Osasco - SP, 06296-190",postospetrobras.com.br,(11) 3625-1391,,,No,No,No,Posto de combustível,,None Found,551136251391
